actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2,200,-0.46641278,100,36.0,1,100,3.3748796,2.9084668,0.18947375,13.259882994598017,1.0,nan
7,700,1.3783553,100,7.0,2,200,3.7233942,5.1017494,0.14504412,50.29196964762681,1.0,1.0
11,1100,1.9396133,100,17.0,3,300,4.699225,6.6388383,0.07752143,51.55239637355055,1.0,1.0
15,1500,0.572608,100,0.0,4,400,4.01142,4.584028,2.092029,40.922522322818025,0.0,1.0
18,1800,0.34922743,100,0.0,5,500,3.3745737,3.7238011,3.3745737,42.33726770193332,0.0,0.75
21,2100,1.6915736,100,0.0,6,600,4.1530275,5.844601,3.2544246,53.20048635469646,0.0,0.6
24,2400,-0.12213278,100,0.0,7,700,7.591219,7.469086,6.5584407,42.043540880119835,0.0,0.5
28,2800,-2.4940808,100,20.0,8,800,6.196317,3.7022364,0.07960147,41.404381419052555,1.0,0.42857142857142855
32,3200,-0.31991673,100,24.0,9,900,6.1814914,5.8615746,0.072854325,40.411524061131246,1.0,0.5
36,3600,-5.595994,100,8.0,10,1000,6.883188,1.2871935,1.0342221,39.66780948461026,1.0,0.5555555555555556
40,4000,-0.5554986,100,0.0,11,1100,7.675172,7.1196733,5.086774,40.810019194108214,0.0,0.6
44,4400,-1.0644851,100,0.0,12,1200,8.272926,7.2084413,6.100261,40.48145308810853,0.0,0.5454545454545454
48,4800,-0.47161865,100,0.0,13,1300,9.330005,8.858386,7.9100666,37.614225648370144,0.0,0.5
52,5200,-0.9512677,100,0.0,14,1400,4.853807,3.9025393,3.869654,42.65404019602759,0.0,0.46153846153846156
56,5600,-5.478381,100,0.0,15,1500,8.114788,2.6364071,2.2061272,50.27635004810909,0.0,0.42857142857142855
60,6000,2.290379,100,0.0,16,1600,2.3258862,4.6162653,2.0574138,49.957335668476944,0.0,0.4
64,6400,0.060133934,100,10.0,17,1700,4.895471,4.955605,1.1462195,44.32041357649113,1.0,0.375
68,6800,-3.798531,100,0.0,18,1800,8.343653,4.5451217,4.3878455,51.406851078135816,0.0,0.4117647058823529
73,7300,-0.14926815,100,0.0,19,1900,9.241605,9.092337,7.1857734,52.038085047938814,0.0,0.3888888888888889
76,7600,2.973979,100,0.0,20,2000,5.423951,8.39793,4.242445,47.10564961776884,0.0,0.3684210526315789
80,8000,2.7895346,100,0.0,21,2100,4.14866,6.9381948,3.8367608,47.801702729605346,0.0,0.35
84,8400,-2.115977,100,62.0,22,2200,4.2698703,2.1538932,0.22947365,53.24122786139751,1.0,0.3333333333333333
88,8800,-0.30475807,100,0.0,23,2300,4.625305,4.320547,2.5125468,52.90519808243279,0.0,0.36363636363636365
92,9200,-1.1629038,100,0.0,24,2400,9.741717,8.578814,8.536946,56.991782989280914,0.0,0.34782608695652173
96,9600,-5.1885552,100,28.0,25,2500,7.134208,1.9456531,0.7460574,56.29080670260303,1.0,0.3333333333333333
100,10000,0.33317757,100,0.0,26,2600,4.9669113,5.300089,2.4688833,36.457384805969326,0.0,0.36
104,10400,5.5893993,100,2.0,27,2700,3.1040382,8.693438,1.5928286,21.28961559801541,1.0,0.34615384615384615
108,10800,0.7150922,100,0.0,28,2800,6.034503,6.749595,3.4941118,35.95756217854113,0.0,0.37037037037037035
112,11200,1.3660622,100,0.0,29,2900,8.337129,9.703191,8.335274,34.75379376369564,0.0,0.35714285714285715
116,11600,-3.2778225,100,0.0,30,3000,5.658698,2.3808756,2.3808756,33.57864892160226,0.0,0.3448275862068966
119,11900,-0.48994136,100,18.0,31,3100,3.135983,2.6460416,1.4871525,22.93185915238532,1.0,0.3333333333333333
123,12300,6.2340846,100,92.0,32,3200,1.1570653,7.39115,1.1570653,29.348591068850833,1.0,0.3548387096774194
125,12500,2.2459378,100,0.0,33,3300,3.8132782,6.059216,2.1346743,54.92569461431967,0.0,0.375
130,13000,4.708602,100,0.0,34,3400,3.586158,8.29476,3.586158,28.12031969560921,0.0,0.36363636363636365
134,13400,-5.6284842,100,2.0,35,3500,6.172803,0.54431874,0.54431874,31.10219556390556,1.0,0.35294117647058826
138,13800,-1.2052982,100,0.0,36,3600,3.3776066,2.1723084,2.1723084,26.818297781736362,0.0,0.37142857142857144
142,14200,-3.7117,100,0.0,37,3700,9.626949,5.9152493,5.9152493,37.99440325209969,0.0,0.3611111111111111
145,14500,7.324153,100,93.0,38,3800,1.3862903,8.7104435,1.3862903,32.093885486695584,1.0,0.35135135135135137
145,14500,-1.2776146,100,0.0,39,3900,3.736413,2.4587984,2.4587984,61.193543600741215,0.0,0.3684210526315789
146,14600,-4.330235,100,0.0,41,4100,11.576379,7.246144,7.246144,140.89493036720725,0.0,0.35
146,14600,-0.24429226,100,0.0,43,4300,10.31057,10.0662775,10.0662775,184.1995957037263,0.0,0.35714285714285715
146,14600,-6.0262136,100,0.0,46,4600,10.302513,4.2762995,4.2762995,214.40937157661256,0.0,0.35555555555555557
146,14600,-0.8355913,100,0.0,48,4800,5.674605,4.8390136,4.8390136,236.85940640355003,0.0,0.3404255319148936
146,14600,4.036273,100,0.0,50,5000,3.8718612,7.9081345,3.8718612,156.415575833494,0.0,0.3469387755102041
146,14600,-4.093279,100,0.0,53,5300,7.1689563,3.0756774,3.0756774,220.9899992676351,0.0,0.34615384615384615
149,14900,0.0,100,0.0,55,5500,7.034925,7.034925,7.034925,59.76025535755172,0.0,0.3333333333333333
149,14900,-2.2940288,100,0.0,56,5600,9.971808,7.6777797,7.6777797,77.53035831069269,0.0,0.32727272727272727
149,14900,-5.527816,100,1.0,59,5900,8.66985,3.1420348,1.9719228,180.13519897612974,1.0,0.3103448275862069
150,15000,0.02316618,100,0.0,60,6000,6.836368,6.8595343,6.296359,88.9310306516302,0.0,0.3220338983050847
150,15000,-5.9237475,100,0.0,62,6200,11.31621,5.3924623,5.3924623,271.0048420674478,0.0,0.3114754098360656
150,15000,-3.3911076,100,0.0,65,6500,9.616961,6.225853,6.225853,122.57412727789726,0.0,0.296875
150,15000,-0.6912594,100,0.0,68,6800,6.167922,5.4766626,5.352001,222.96216243801075,0.0,0.2835820895522388
150,15000,-6.1366606,100,1.0,70,7000,7.7774854,1.6408247,1.6408247,233.9357364760476,1.0,0.2753623188405797
151,15100,-8.407871,100,0.0,73,7300,11.928084,3.5202134,3.5202134,119.46034269588837,0.0,0.2916666666666667
152,15200,-3.5795703,100,0.0,74,7400,8.011141,4.4315705,4.4315705,66.16325870656576,0.0,0.2876712328767123
153,15300,-5.5551353,100,4.0,75,7500,7.7277,2.172565,0.2829986,63.83690108158721,1.0,0.28378378378378377
154,15400,-3.1324043,100,0.0,77,7700,8.69194,5.559536,5.559536,125.25481415163334,0.0,0.2894736842105263
154,15400,-1.14856,100,0.0,79,7900,5.4612155,4.3126554,4.3126554,166.4089379800673,0.0,0.2948717948717949
154,15400,-0.50870705,100,0.0,82,8200,9.255536,8.746829,8.746829,231.3256414216065,0.0,0.2839506172839506
154,15400,-1.3220162,100,0.0,85,8500,6.8570147,5.5349984,5.5349984,216.271692633889,0.0,0.2976190476190476
154,15400,-4.547991,100,0.0,88,8800,11.467394,6.919403,6.919403,271.6891179358824,0.0,0.2988505747126437
154,15400,-7.483743,100,2.0,91,9100,7.8353043,0.35156104,0.35156104,195.1891275343313,1.0,0.28888888888888886
155,15500,-3.7574654,100,0.0,92,9200,8.608872,4.851407,4.851407,87.99375151182406,0.0,0.2967032967032967
157,15700,-5.7996535,100,0.0,94,9400,12.1612625,6.361609,6.361609,63.43622142325197,0.0,0.2903225806451613
157,15700,-2.9695349,100,3.0,95,9500,9.795821,6.8262863,0.76029223,80.63426150214163,1.0,0.2872340425531915
157,15700,-3.0018811,100,4.0,98,9800,9.913534,6.911653,0.7156682,194.4946334686443,1.0,0.30927835051546393
157,15700,-0.02317524,100,0.0,101,10100,8.559848,8.536673,8.536673,187.67476896959522,0.0,0.32
157,15700,-0.4060378,100,0.0,104,10400,7.7917542,7.3857164,7.3857164,238.22934700127684,0.0,0.3106796116504854
157,15700,-1.3811684,100,0.0,107,10700,8.764282,7.383114,7.383114,182.4694938252431,0.0,0.3113207547169811
157,15700,0.38379192,100,0.0,110,11000,4.8913965,5.2751884,4.3968945,192.13626852052053,0.0,0.30275229357798167
159,15900,-4.483923,100,0.0,111,11100,7.9589972,3.4750743,3.4750743,83.22759987530655,0.0,0.3
159,15900,2.106365,100,0.0,112,11200,3.606664,5.713029,3.0106423,59.60682526844931,0.0,0.2972972972972973
159,15900,-3.4222953,100,0.0,115,11500,7.3362885,3.9139931,3.9139931,199.18952739844752,0.0,0.2894736842105263
162,16200,-4.223444,100,2.0,116,11600,4.664003,0.440559,0.440559,47.9244854432785,1.0,0.28695652173913044
162,16200,0.06102729,100,4.0,117,11700,2.0936785,2.1547058,0.30257154,78.41201198416618,1.0,0.29310344827586204
162,16200,4.617644,100,0.0,120,12000,2.3296313,6.947275,2.2219622,158.6559178831675,0.0,0.29411764705882354
162,16200,8.133656,100,92.0,123,12300,0.88267595,9.016332,0.3698024,169.9183648831663,1.0,0.29508196721311475
162,16200,-1.5622563,100,0.0,126,12600,3.7019494,2.139693,2.139693,202.83150440355223,0.0,0.296
162,16200,-1.756583,100,3.0,129,12900,4.9330144,3.1764314,1.304623,203.45143882711034,1.0,0.2890625
164,16400,3.9334173,100,0.0,131,13100,3.1035175,7.036935,2.0660949,112.73962152982546,0.0,0.2923076923076923
164,16400,-3.2484498,100,0.0,132,13200,9.664065,6.4156156,6.4068656,61.77968874072396,0.0,0.2900763358778626
166,16600,-0.022557974,100,3.0,133,13300,2.6180236,2.5954657,1.2130877,62.867001113657516,1.0,0.2878787878787879
166,16600,-3.4069653,100,0.0,134,13400,12.333397,8.926432,8.926432,94.8440590857822,0.0,0.2932330827067669
166,16600,0.9746022,100,0.0,137,13700,6.0779634,7.0525656,5.2085886,166.96990301001748,0.0,0.2867647058823529
166,16600,-5.187418,100,0.0,140,14000,9.106747,3.9193285,3.9193285,303.92978672834676,0.0,0.2805755395683453
166,16600,3.051343,100,49.0,142,14200,2.2178102,5.269153,1.6628906,207.61465869069687,1.0,0.2765957446808511
166,16600,1.4579115,100,0.0,145,14500,9.353841,10.811752,9.259184,190.51742581192286,0.0,0.2777777777777778
166,16600,-3.6215863,100,0.0,148,14800,10.6170635,6.995477,6.995477,222.10981618223335,0.0,0.2789115646258503
167,16700,5.375886,100,96.0,150,15000,0.16402775,5.5399137,0.1639824,89.43889371638154,1.0,0.2751677852348993
170,17000,-6.1541376,100,2.0,152,15200,6.8710437,0.716906,0.4191653,67.41922977264296,1.0,0.2781456953642384
170,17000,-2.260447,100,0.0,153,15300,7.19887,4.938423,4.938423,57.21323535128822,0.0,0.28289473684210525
170,17000,-1.745326,100,0.0,155,15500,10.602461,8.857135,8.857135,160.47141661810915,0.0,0.2792207792207792
170,17000,-2.1775048,100,0.0,158,15800,4.6654816,2.4879768,2.4879768,186.5284955659333,0.0,0.27388535031847133
170,17000,-0.16277957,100,0.0,161,16100,4.114149,3.9513695,3.9513695,224.39152788106077,0.0,0.28125
170,17000,-2.3677845,100,0.0,163,16300,6.529273,4.1614885,4.1614885,239.89809931427519,0.0,0.2777777777777778
171,17100,-3.5098035,100,0.0,166,16600,5.0201774,1.5103738,1.5103738,101.57421354709031,0.0,0.2787878787878788
171,17100,1.7680988,100,0.0,167,16700,5.442774,7.2108727,5.3773947,97.58702507716355,0.0,0.27710843373493976
173,17300,8.534454,100,89.0,168,16800,1.6490932,10.183548,1.6445646,69.33651876884856,1.0,0.2754491017964072
174,17400,-0.35817528,100,0.0,169,16900,5.635221,5.2770457,5.2770457,51.65529425311846,0.0,0.27976190476190477
174,17400,-4.351151,100,0.0,170,17000,11.781063,7.429912,7.429912,87.99496992254528,0.0,0.2781065088757396
174,17400,-0.662899,100,0.0,173,17300,9.106735,8.443836,8.443836,245.70078227239762,0.0,0.27325581395348836
174,17400,-4.1139827,100,0.0,175,17500,8.278362,4.1643796,4.1643796,228.4204352308355,0.0,0.27011494252873564
174,17400,2.4910755,100,0.0,178,17800,5.1011696,7.592245,5.1011696,213.70779589684275,0.0,0.2711864406779661
174,17400,1.414959,100,0.0,181,18100,8.816474,10.231433,8.719004,185.2007343908821,0.0,0.26666666666666666
175,17500,0.89168787,100,0.0,183,18300,3.4589558,4.3506436,2.6614592,84.7501929674966,0.0,0.26373626373626374
177,17700,-10.166849,100,0.0,184,18400,12.145468,1.9786191,1.9786191,86.2403377316693,0.0,0.26229508196721313
178,17800,4.8220186,100,0.0,185,18500,2.8338382,7.655857,2.0360138,56.15543619262141,0.0,0.2608695652173913
178,17800,-0.33470392,100,0.0,186,18600,2.480472,2.1457682,2.1457682,69.84038283210033,0.0,0.2594594594594595
178,17800,-4.800703,100,1.0,189,18900,5.0689716,0.2682687,0.2682687,158.81745986969128,1.0,0.2553191489361702
178,17800,-1.6710541,100,0.0,192,19200,4.207185,2.5361307,2.5361307,255.29274063127116,0.0,0.2617801047120419
178,17800,2.6154804,100,3.0,194,19400,2.013413,4.6288934,1.2224355,194.92216690894625,1.0,0.25906735751295334
178,17800,-2.0657866,100,0.0,197,19700,4.6474323,2.5816457,2.1444652,176.07419935914308,0.0,0.2653061224489796
178,17800,-1.4473207,100,1.0,200,20000,2.1441424,0.6968217,0.6968217,225.06424383304812,1.0,0.2613065326633166
180,18000,5.753319,100,1.0,201,20100,3.1550045,8.908323,1.9838618,88.62222917137672,1.0,0.265
181,18100,-2.91291,100,0.0,202,20200,10.576498,7.663588,7.663588,50.959466590010265,0.0,0.26865671641791045
182,18200,-1.8135996,100,2.0,203,20300,2.4305594,0.6169598,0.6169598,53.97857898112714,1.0,0.26732673267326734
182,18200,0.66999364,100,1.0,205,20500,3.60068,4.2706738,1.9459091,229.27010586985136,1.0,0.2696078431372549
182,18200,-2.733664,100,3.0,207,20700,9.443694,6.71003,0.8302743,223.7602982827615,1.0,0.27184466019417475
182,18200,-0.2052226,100,2.0,210,21000,3.4311118,3.2258892,1.7904856,152.9519705816713,1.0,0.27751196172248804
182,18200,-3.8491218,100,1.0,213,21300,6.577957,2.7288353,1.9721341,155.47663256239466,1.0,0.2783018867924528
182,18200,0.19922829,100,0.0,216,21600,9.413383,9.612611,9.209057,237.5999274902565,0.0,0.27906976744186046
184,18400,2.429216,100,4.0,217,21700,4.086044,6.5152597,0.17806171,89.16606645855673,1.0,0.2777777777777778
185,18500,7.010953,100,94.0,218,21800,1.3301775,8.34113,0.3731208,36.25500966168333,1.0,0.28110599078341014
185,18500,1.6652534,100,0.0,220,22000,3.4753263,5.1405797,3.472705,206.03520519992415,0.0,0.2831050228310502
186,18600,-5.613405,100,0.0,222,22200,8.516355,2.902949,2.902949,81.66530632589611,0.0,0.28054298642533937
186,18600,1.8296871,100,0.0,224,22400,6.7225943,8.552281,6.707963,207.39435348730038,0.0,0.27802690582959644
186,18600,-3.2195911,100,0.0,226,22600,10.43229,7.212699,7.212699,137.94579590172157,0.0,0.27555555555555555
186,18600,-5.561295,100,0.0,229,22900,7.766081,2.2047858,2.2047858,162.2987326215769,0.0,0.27631578947368424
186,18600,-9.4787445,100,2.0,232,23200,10.121453,0.64270884,0.64270884,207.55661124307204,1.0,0.27705627705627706
187,18700,-1.1704817,100,0.0,234,23400,9.191662,8.02118,8.02118,83.47827194588994,0.0,0.27896995708154504
189,18900,-0.77603626,100,0.0,235,23500,7.1070104,6.330974,6.330974,83.28917976430115,0.0,0.2777777777777778
190,19000,-10.379411,100,1.0,236,23600,10.69004,0.31062853,0.31062853,52.88487253009043,1.0,0.2765957446808511
190,19000,-5.764922,100,0.0,237,23700,9.9101305,4.1452084,4.1452084,82.93422728658639,0.0,0.2796610169491525
190,19000,-10.352868,100,1.0,239,23900,11.223355,0.870487,0.870487,198.43449652433628,1.0,0.2773109243697479
190,19000,1.2029943,100,0.0,241,24100,4.3792443,5.5822387,4.3792443,155.20973258050597,0.0,0.2791666666666667
190,19000,4.3337283,100,4.0,244,24400,4.2991166,8.632845,0.21729009,233.3660303999261,1.0,0.2757201646090535
190,19000,-3.6204917,100,0.0,246,24600,5.949034,2.3285425,2.3285425,221.73465983853768,0.0,0.27755102040816326
190,19000,-0.62723684,100,0.0,248,24800,5.0311246,4.4038877,4.4038877,160.76573216699106,0.0,0.2793522267206478
190,19000,-6.9843254,100,4.0,251,25100,9.567414,2.583089,0.45260394,209.6838522640865,1.0,0.28
194,19400,0.36683512,100,0.0,253,25300,4.3818126,4.7486477,4.3818126,31.62342234573446,0.0,0.28174603174603174
194,19400,4.380082,100,4.0,254,25400,4.3125534,8.692636,0.23301424,77.68517189423062,1.0,0.28063241106719367
194,19400,-6.281476,100,0.0,257,25700,8.330732,2.0492563,2.0492563,159.1106231836282,0.0,0.28515625
194,19400,-3.0512023,100,0.0,260,26000,7.414355,4.3631525,4.3631525,168.90463177512586,0.0,0.28185328185328185
194,19400,-3.1089654,100,0.0,263,26300,8.539006,5.430041,5.430041,233.91133986237372,0.0,0.2824427480916031
194,19400,-4.165803,100,0.0,265,26500,12.785963,8.62016,8.62016,198.20503708632305,0.0,0.2840909090909091
197,19700,-1.1163392,100,0.0,268,26800,6.72137,5.605031,5.605031,64.34744241290636,0.0,0.2846441947565543
198,19800,-1.8408537,100,0.0,269,26900,5.9656963,4.1248426,4.1248426,43.868131537122466,0.0,0.2835820895522388
198,19800,-7.024471,100,0.0,270,27000,9.224895,2.2004237,2.2004237,77.64578169973069,0.0,0.2825278810408922
198,19800,-4.6606708,100,0.0,273,27300,9.144444,4.4837737,4.4837737,163.19709270315963,0.0,0.27941176470588236
198,19800,-6.0231824,100,2.0,276,27600,8.1410475,2.117865,1.3006617,221.08726568504147,1.0,0.27636363636363637
198,19800,-0.79422855,100,0.0,278,27800,7.969064,7.1748357,7.1748357,195.9338955552763,0.0,0.2815884476534296
198,19800,-6.2029195,100,1.0,280,28000,6.8887534,0.6858339,0.6858339,140.28809487256416,1.0,0.2831541218637993
198,19800,-1.0698195,100,0.0,282,28200,8.772944,7.703125,7.703125,194.37286391873448,0.0,0.28825622775800713
200,20000,-4.295717,100,0.0,284,28400,10.417621,6.121904,6.121904,68.74448785053009,0.0,0.2862190812720848
202,20200,-3.7380142,100,0.0,285,28500,5.2045984,1.4665842,1.4665842,48.03622360489737,0.0,0.2852112676056338
202,20200,-2.1423483,100,0.0,286,28600,13.701177,11.558828,11.558828,59.406931212779526,0.0,0.28421052631578947
202,20200,0.6454234,100,0.0,289,28900,6.756012,7.4014354,6.304903,156.79928342612632,0.0,0.28125
202,20200,-9.201137,100,0.0,292,29200,12.051743,2.8506062,2.8506062,197.75544507073465,0.0,0.27835051546391754
202,20200,-2.3849688,100,3.0,294,29400,4.2052546,1.8202858,0.31124064,211.52906170411276,1.0,0.2764505119453925
202,20200,-1.2293203,100,0.0,296,29600,3.8357947,2.6064744,2.6064744,157.40148015717992,0.0,0.28135593220338984
202,20200,1.3467836,100,0.0,299,29900,5.7254505,7.072234,5.1386065,198.9658699121274,0.0,0.2785234899328859
203,20300,0.18036151,100,0.0,300,30000,3.307609,3.4879706,2.1897998,99.71611258973265,0.0,0.27759197324414714
203,20300,1.884768,100,0.0,301,30100,5.178337,7.063105,4.6185713,77.5636067014981,0.0,0.27666666666666667
203,20300,-0.14058018,100,0.0,303,30300,9.528028,9.387447,9.387447,108.74219752208131,0.0,0.27483443708609273
205,20500,0.11026621,100,0.0,304,30400,5.151507,5.261773,2.620471,50.31228179649089,0.0,0.2739273927392739
206,20600,-1.0878305,100,4.0,305,30500,3.2654254,2.177595,0.41844565,70.5464989506254,1.0,0.2730263157894737
206,20600,-2.7954216,100,0.0,307,30700,7.427453,4.6320314,4.6320314,224.31460383318066,0.0,0.2777777777777778
206,20600,0.42966843,100,0.0,309,30900,7.2192783,7.648947,7.2192783,160.40121106756976,0.0,0.275974025974026
206,20600,-1.7375908,100,0.0,312,31200,7.693904,5.956313,5.956313,218.79383123319,0.0,0.2733118971061093
206,20600,-4.554077,100,0.0,314,31400,10.337384,5.783307,5.783307,200.6314121820457,0.0,0.2715654952076677
206,20600,-5.624811,100,1.0,316,31600,6.436308,0.8114965,0.8114965,135.1286028863362,1.0,0.2698412698412698
207,20700,2.4288487,100,98.0,317,31700,1.3760853,3.804934,1.281251,93.70110174589986,1.0,0.2721518987341772
209,20900,-3.1312327,100,0.0,319,31900,11.025771,7.8945384,7.8945384,51.18820896602553,0.0,0.27358490566037735
209,20900,-2.9253197,100,0.0,321,32100,10.842029,7.916709,7.916709,167.83291551541657,0.0,0.271875
210,21000,-0.5647254,100,0.0,323,32300,6.051006,5.4862804,5.284771,89.77997366730604,0.0,0.2701863354037267
210,21000,3.3167253,100,0.0,325,32500,6.462462,9.779187,6.2436132,250.6376934398516,0.0,0.26851851851851855
210,21000,-3.5731401,100,2.0,328,32800,7.5956893,4.022549,1.1754624,158.20398310199155,1.0,0.26605504587155965
210,21000,-2.4711385,100,0.0,331,33100,6.7847743,4.313636,3.9691002,179.62573403956446,0.0,0.2727272727272727
211,21100,-6.6516314,100,0.0,333,33300,9.711006,3.0593748,2.293615,81.96655444146793,0.0,0.2710843373493976
213,21300,-2.3804822,100,0.0,334,33400,6.5935497,4.2130675,4.2130675,69.20239706064571,0.0,0.2702702702702703
213,21300,-1.2595754,100,0.0,335,33500,4.9598055,3.7002301,3.7002301,73.39250736759072,0.0,0.2694610778443114
213,21300,-1.4042082,100,0.0,338,33800,10.3927555,8.988547,8.988547,139.54922280309913,0.0,0.27002967359050445
214,21400,4.0753045,100,0.0,339,33900,4.010699,8.086003,3.2992876,80.70524420995312,0.0,0.2692307692307692
214,21400,-3.1435728,100,0.0,341,34100,7.999184,4.8556113,4.4643865,252.54735822938235,0.0,0.2676470588235294
214,21400,-4.3776712,100,0.0,344,34400,12.497251,8.119579,8.119579,160.3114571576324,0.0,0.2653061224489796
214,21400,2.4633,100,1.0,347,34700,3.0143592,5.477659,1.8050604,187.79703271747775,1.0,0.2630057803468208
214,21400,0.9280338,100,100.0,349,34900,1.5120265,2.4400604,1.5120265,208.51084138018803,1.0,0.26436781609195403
216,21600,-3.0964837,100,0.0,351,35100,8.859308,5.7628245,5.7628245,93.57863705922892,0.0,0.26857142857142857
217,21700,-5.8002796,100,0.0,352,35200,8.663762,2.8634822,2.8634822,52.16186167288899,0.0,0.2678062678062678
217,21700,-1.0544145,100,0.0,353,35300,3.6079054,2.5534909,2.5534909,77.25291312071596,0.0,0.26704545454545453
218,21800,9.763264,100,89.0,355,35500,0.5070927,10.270356,0.5070927,73.41722431589874,1.0,0.2655367231638418
218,21800,-0.1313281,100,100.0,358,35800,1.8198689,1.6885408,1.6885408,246.3485902939582,1.0,0.2661064425770308
218,21800,-8.565502,100,1.0,360,36000,9.255647,0.6901448,0.6901448,215.35480392786084,1.0,0.27019498607242337
218,21800,-0.4721775,100,0.0,363,36300,6.096242,5.6240644,5.6240644,150.5271117577414,0.0,0.27071823204419887
218,21800,-0.96664953,100,0.0,366,36600,8.022371,7.0557218,7.0557218,147.37985757826834,0.0,0.2684931506849315
220,22000,0.16236019,100,100.0,367,36700,1.8739626,2.0363228,1.8739626,60.468076063729946,1.0,0.2677595628415301
221,22100,1.1865623,100,0.0,368,36800,3.3950408,4.581603,3.3950408,59.792952327486525,0.0,0.26975476839237056
222,22200,0.5170264,100,0.0,370,37000,2.0925572,2.6095836,2.0925572,88.33098341650178,0.0,0.2682926829268293
222,22200,-0.8054304,100,0.0,372,37200,4.570562,3.7651315,2.294349,226.02834364595986,0.0,0.2668463611859838
222,22200,-4.095541,100,0.0,375,37500,10.7089615,6.6134205,6.6134205,162.60382979086336,0.0,0.2647058823529412
222,22200,-0.4979232,100,100.0,378,37800,1.2713133,0.7733901,0.7733901,175.27117215488101,1.0,0.2625994694960212
222,22200,-1.7914276,100,0.0,381,38100,10.181536,8.390108,8.390108,255.39409372417853,0.0,0.2631578947368421
223,22300,-9.437195,100,1.0,383,38300,10.230334,0.7931392,0.7931392,128.49865383366358,1.0,0.2643979057591623
223,22300,-5.2546616,100,4.0,384,38400,8.503286,3.248625,0.3547117,79.91879893456947,1.0,0.26631853785900783
225,22500,-1.0869265,100,0.0,385,38500,8.159103,7.072177,7.072177,69.02013649001601,0.0,0.2682291666666667
226,22600,-4.1613636,100,0.0,386,38600,6.461684,2.3003204,2.3003204,69.29707721024967,0.0,0.2675324675324675
226,22600,-1.5286758,100,4.0,387,38700,3.8591657,2.3304899,0.30825838,73.99255082738105,1.0,0.266839378238342
226,22600,4.1260247,100,96.0,389,38900,1.795144,5.921169,0.818684,187.9790002249848,1.0,0.26804123711340205
226,22600,-0.013447762,100,0.0,391,39100,8.584914,8.571466,8.414713,184.9201779408069,0.0,0.2692307692307692
226,22600,-5.8529005,100,0.0,394,39400,12.491012,6.638111,6.638111,164.0772711162783,0.0,0.2697201017811705
226,22600,-1.8785172,100,0.0,397,39700,8.229686,6.3511686,6.3511686,151.2184569768884,0.0,0.2702020202020202
226,22600,3.5208678,100,0.0,400,40000,7.1082435,10.629111,7.0490713,285.8619674383608,0.0,0.2681704260651629
228,22800,0.08122921,100,0.0,402,40200,6.9786615,7.0598907,6.9786615,48.84439099977478,0.0,0.26932668329177056
229,22900,2.5394807,100,0.0,403,40300,6.08598,8.625461,6.08598,74.48646865073297,0.0,0.26865671641791045
230,23000,3.8889499,100,96.0,405,40500,1.7390156,5.6279655,1.7390156,125.97644945764071,1.0,0.26732673267326734
230,23000,-3.189259,100,0.0,406,40600,9.573827,6.3845677,6.3845677,83.85963067248589,0.0,0.2691358024691358
230,23000,-2.177199,100,0.0,408,40800,8.006515,5.8293157,5.8293157,217.1170457657221,0.0,0.2678132678132678
230,23000,-1.323616,100,0.0,410,41000,7.614727,6.291111,6.291111,143.3171518105207,0.0,0.2665036674816626
230,23000,-5.7952824,100,0.0,413,41300,9.58918,3.7938974,2.8628495,156.5015447530634,0.0,0.26941747572815533
230,23000,2.7554333,100,0.0,416,41600,2.152692,4.9081254,2.152692,150.0449494073225,0.0,0.2674698795180723
232,23200,-2.7734323,100,0.0,417,41700,7.994419,5.220987,5.220987,72.1539861585862,0.0,0.2668269230769231
232,23200,-4.0892506,100,0.0,418,41800,10.469771,6.380521,6.380521,72.97090265632065,0.0,0.26618705035971224
233,23300,-3.282668,100,0.0,421,42100,11.923699,8.641031,8.641031,97.19926955199807,0.0,0.2642857142857143
233,23300,-5.8084044,100,0.0,423,42300,8.959128,3.150724,3.150724,152.6863792798414,0.0,0.26540284360189575
233,23300,-5.443589,100,0.0,426,42600,9.170883,3.7272942,3.7272942,198.3089641542575,0.0,0.26588235294117646
233,23300,0.21518731,100,100.0,428,42800,1.1411753,1.3563626,0.35896516,270.4155032142555,1.0,0.2646370023419204
233,23300,-0.063869,100,0.0,430,43000,5.787524,5.723655,5.70624,188.42869317505392,0.0,0.2680652680652681
233,23300,1.32275,100,98.0,433,43300,1.8861111,3.208861,1.7092335,210.24354202109902,1.0,0.26851851851851855
237,23700,-1.6940708,100,0.0,435,43500,8.974097,7.2800264,7.2800264,35.193582981569854,0.0,0.2695852534562212
237,23700,-0.063553095,100,0.0,436,43600,2.3709764,2.3074234,2.3074234,73.83263035470011,0.0,0.2689655172413793
238,23800,-1.419075,100,0.0,437,43700,10.386305,8.96723,8.96723,83.99217892041227,0.0,0.268348623853211
238,23800,-1.8154807,100,0.0,439,43900,9.455541,7.64006,7.64006,166.79746234901728,0.0,0.2671232876712329
238,23800,-0.994272,100,0.0,442,44200,3.6616004,2.6673284,2.6673284,152.88980520538567,0.0,0.2675736961451247
238,23800,-5.9526873,100,0.0,445,44500,8.87507,2.922382,2.922382,219.0144437754852,0.0,0.26576576576576577
